# רשימת מניות מדד ת"א 125 - מאומת מול אתר הבורסה (TASE, 15/09/2026) + Yahoo Finance
# (חיפוש לפי ISIN מדויק, לא לפי שם) - יש לוודא/לעדכן מדי רבעון כי הרכב המדד משתנה:
# https://market.tase.co.il/he/market_data/index/137/components
# עמודה yahoo_ticker היא הטיקר כפי שמופיע ב-Yahoo Finance (סיומת .TA)
# הערה: מזהה המדד השתנה - היה 166, עכשיו 137 (התגלה 15.9.2026, ה-URL הישן
# הצביע על מדד אחר לגמרי, "תל-דיב"). ת"א 125 כן כולל את כל 35 מניות ת"א-35
# בתוכו (מוודא: אין אף סימבול מ-ta35_constituents.csv שחסר כאן).
symbol,name,yahoo_ticker
OPCE,או.פי.סי אנרגיה,OPCE.TA
OPK,אופקו הלת',OPK.TA
ORA,אורמת טכנולוגיות,ORA.TA
ORL,בזן,ORL.TA
PAZ,פז אנרגיה,PAZ.TA
PHOE,הפניקס אחזקות,PHOE.TA
POLI,בנק הפועלים,POLI.TA
PRSK,פרשקובסקי,PRSK.TA
PRTC,פריורטק,PRTC.TA
PTBL,נכסים ובנין,PTBL.TA
PTNR,פרטנר,PTNR.TA
QLTU,קווליטאו,QLTU.TA
RATI,רציו יהש,RATI.TA
RIT1,ריט 1,RIT1.TA
RMLI,רמי לוי,RMLI.TA
RMON,רימון,RMON.TA
RPOL,אר פי אופטיקל,RPOL.TA
SAE,שופרסל,SAE.TA
SBEN,שוב אנרגיה,SBEN.TA
SCOP,סקופ,SCOP.TA
SKBN,שיכון ובינוי,SKBN.TA
SLARL,סלע נדלן,SLARL.TA
SMT,סאמיט,SMT.TA
SPEN,שפיר הנדסה,SPEN.TA
STRS,שטראוס גרופ,STRS.TA
TASE,הבורסה לניירות ערך,TASE.TA
TEVA,טבע,TEVA.TA
TMRP,תמר פטרוליום,TMRP.TA
TRPZ,תורפז,TRPZ.TA
TSEM,טאואר סמיקונדקטור,TSEM.TA
UNMI,יוניברסל מוטורס,UNMI.TA
VILR,וילאר,VILR.TA
VRDS,ורידיס,VRDS.TA
WESR,ווישור גלובלטק,WESR.TA
YHNF,יוחננוף,YHNF.TA
